train_loss,test_loss,test_wer,test_cer
2.535939517017838,1.8656912277673037,0.9905846996614296,0.4923470384512921
1.714763888046302,1.340281582060661,0.8398699026171638,0.35848044613362695
1.3269378484840901,1.0292792843498346,0.7143373402312843,0.27491919156040207
1.065434187003258,0.8273907174135893,0.6163458612294583,0.21899975135864738
0.8757512597830545,0.71004682802062,0.5464280279975654,0.18617554079494192
0.7480532679845172,0.6256648327103098,0.48455569080949484,0.16251909210386103
0.6663742728724543,0.5778239019044483,0.443700547778454,0.14741235392320534
0.6132240731689423,0.5391551194755175,0.41714850882531956,0.13866373033069299
0.5719454291197664,0.5253027105376921,0.3984707851491175,0.1299541789507335
0.5423050662104534,0.5076095301458854,0.38207547169811323,0.12580542038148687
0.5113347493524558,0.4895865152810366,0.3755896226415094,0.12262991510673818
0.4866036673734968,0.46673043356596966,0.3587378271454656,0.1168720917841793
0.46948342542173815,0.4548816103061647,0.3425897748021911,0.11202003338898163
0.4498185890073449,0.4499864189224389,0.33777769324406576,0.11031861613327176
0.4356323447399567,0.4397268097364265,0.33258520998174074,0.10893688061663055
0.42224250906150324,0.43869778923405944,0.3220100426049909,0.10517529215358931
0.4096953170276139,0.42268248232266376,0.32119217894096164,0.10447199232763826
0.40016183445064357,0.41957335219583436,0.3086008825319537,0.10058963520761553
0.38602722793838407,0.4116464097991244,0.31044583079732196,0.10115440627997016
0.37748423997722647,0.4118798766427368,0.2990908399269629,0.0979717969665755
0.36851286807716854,0.4034639854012555,0.298957699330493,0.09707313607786026
0.3570371889408101,0.3987904371878573,0.29224360925136944,0.09477497957588889
0.3423717928751416,0.3897870553813818,0.2857197200243457,0.09287820125741485
0.33153017718389305,0.3947943832355601,0.28421713329275716,0.09136504102582318
0.31878152624367834,0.38581312806096696,0.2748402312842362,0.08849145739352822
0.31091064598983037,0.3814752717282026,0.2719301582471089,0.08819308777039747
0.3013700671499228,0.3777795911745261,0.27339470480827754,0.0888288992292118
0.2896101937669094,0.36822424686819544,0.2622869750456482,0.08449543565516997
0.27824817981098443,0.36699882741192824,0.255192483262325,0.08236067204205591
0.2679678480380385,0.36511089487840204,0.2558391661594644,0.08231094377153411
0.2564425495281534,0.36575634493172626,0.2507988435788192,0.08124888999396157
0.2467697164606363,0.3689376002049628,0.25108414485696895,0.08082264767520335
0.2371669135094942,0.3620437577025581,0.24254412659768715,0.07824032962739318
0.22695897937280446,0.36123288815258114,0.23923463177115034,0.07760807018790182
0.21732779919641704,0.3572472969766792,0.23691418137553255,0.07615174226547793
0.2092714645568942,0.353024281163252,0.23276780279975653,0.07527084147337762
0.20016924340927944,0.356447174348904,0.22869750456482046,0.07365822470074238
0.19155178592914288,0.3550640541406078,0.22656725502130248,0.07307569353177282
0.18481126882934704,0.34796469516426554,0.22415170419963482,0.07219834475899549
0.17831624239244576,0.3555782937821541,0.2227061777236762,0.07158739743544205
0.17477779297162038,0.3501828768439875,0.21888314059646988,0.07071004866266473
0.1677580528540802,0.35843046930910066,0.2204237674984784,0.07074556885589457
0.16535689349181182,0.35757504864275913,0.21899726110772977,0.07049692750328562
0.1609576817891693,0.35484504694019564,0.2171903530127815,0.0698575640251483
0.15714068432516706,0.35594045882689135,0.2170952525867316,0.06984335594785636
0.15660667022626218,0.3537067143630435,0.21599208764455266,0.0697367953681668
0.1546385056889383,0.355139417047719,0.21547854534388314,0.06934252122331545
0.15358527964888208,0.35580375722346413,0.21549756542909312,0.06937093737789933
0.15238319345460793,0.3553745613525842,0.21601110772976262,0.06939935353248322
0.15133911077802467,0.35536636878515926,0.21599208764455266,0.06925727275956381
